feature,imp
Z_score_p4_Falcon_Gross,2.4942947625
Z_score_std1,2.5000184420947376
recent_ptp_Tortoise_Gross_inv,2.5033162433333334
Z_score_p9_Tortoise_Migrate_inv,2.50739527
Z_score_p2S_Tortoise_Revenue_inv,2.5103916408
recent_mean_Tortoise_Opening_inv,2.520355837142857
Z_score_p0_Tortoise_ARPEU_inv,2.52330172
Z_score_p2N_Tortoise_Migrate,2.526627516
Z_score_p11_Tortoise_NetAdds_inv,2.53705597
Z_score_p3N_Tortoise_Opening_inv,2.54096985
Z_score_p11S,2.5463515618181813
Z_score_p1N_Tortoise_Migrate,2.5533655900000003
Z_score_p5S_Tortoise_Opening,2.5583002914285715
Z_score_p0N_Tortoise_ARPNU,2.5601641771428576
Z_score_p3S_Falcon_ARPEU_inv,2.5690649071428573
Z_score_p2N_Falcon_NetAdds,2.5790808688999998
Z_score_p2_Falcon_Churn,2.5807557133333336
Z_score_p2S_Tortoise_NetAdds_inv,2.5826438059999997
Z_score_p9S_Falcon_Gross,2.59204102
Z_score_p11N,2.5983029233333337
